[-0.7240250844264595, 0.6163176187975022]
[-0.7148487325716044, 0.7742135817719256]
[-0.7126799016676707, 0.9376786705804914]
[-0.715400610622802, 1.1020602298384026]
[-0.7227940471967932, 1.2788178935233647]
[-0.7231268267224105, 1.4439349483879829]
[-0.7242360936608668, 1.5785356356995786]
[-0.7059409145331487, 1.7250625974917022]
[-0.6958149886809324, 1.7993823541092633]
[-0.6872680671369963, 1.8632588023318895]
[-0.6826239838898941, 1.893091841505189]
[-0.6800645471826856, 1.9286115919985023]
[-0.6717408727075326, 1.9643785982147588]
[-0.679031676869916, 1.9681470274947728]
[-0.6186831729322468, 2.014441872023406]
[-0.551647559292323, 2.0520793093569147]
[-0.501957408082507, 2.0730184801161213]
[-0.450420208853051, 2.0907030728110767]
[-0.41468380970114965, 2.096937362049901]
[-0.3683307582049551, 2.101087648875543]
[-0.3494617535189507, 2.0976346223770124]
[-0.32462078194728, 2.094252345152632]
[-0.31702483002307646, 2.0923631735146806]
[-0.32012056805545236, 2.0926433395460244]
[-0.30280415800137134, 2.0698655207541306]
[-0.28199943864099997, 1.9432193994391924]
[-0.2794218296312959, 1.7690421797403184]
[-0.2827052220960209, 1.6291329024799004]
[-0.29330512229926153, 1.4519505036332727]
[-0.2928383222666682, 1.271537808162923]
[-0.28703460100164746, 1.0959496219360334]
[-0.28408354242243644, 0.9191413450954128]
[-0.28420415972800583, 0.7558755802633326]
[-0.2849370351030856, 0.5848368039288437]
[-0.28610524913247753, 0.41906695121933574]
[-0.2820427046456818, 0.2403293330576077]
[-0.2806024020398287, 0.06864327608705963]
[-0.27279121128258527, -0.10121468404752508]
[-0.2684585097409551, -0.2704464569962828]
[-0.26277402953174517, -0.42125569895585663]
[-0.261672475201501, -0.5942177485248835]
[-0.26348366797604933, -0.7588319535034965]
[-0.26105088464230763, -0.9133365402228641]
[-0.25408979694602185, -1.0787953127842074]
[-0.24895354742120243, -1.2443131377859524]
[-0.25003582350764586, -1.414606501721601]
[-0.25493731825361726, -1.5344656174589424]
[-0.2580148351254697, -1.6621908747211578]
[-0.25835468664054995, -1.7372391569289891]
[-0.25457917061912605, -1.7750161151820183]
[-0.2564056375421351, -1.8352359962190796]
[-0.2564056375421351, -1.8352359962190796]
[-0.2525813193051832, -1.8610109570538136]
[-0.2522397042310121, -1.8556864124300094]
[-0.19627537142462273, -1.8900641602818444]
[-0.11923820428340269, -1.925460287775009]
[-0.06148085449096121, -1.9419370292390048]
[-0.03718480858532494, -1.9476824789418186]
[-0.0005218108432451785, -1.954454875312322]
[0.03830464624798976, -1.9587069001482174]
[0.050648527350838315, -1.9604988743228806]
[0.06582315782791615, -1.9609196734116277]
[0.06131248683920541, -1.9647775810900772]
[0.07641892129031981, -1.9455691834621387]
[0.08544541469512475, -1.8035408827168293]
[0.05052293577216054, -1.6275891690022515]
[0.03325773618316517, -1.4508647430794033]
[0.030635982648668254, -1.2787888954544282]
[0.03239762383492331, -1.1095827182878901]
[0.030029308384510123, -0.9343320651373116]
[0.02988537587442996, -0.763208738615804]
[0.027510740032131192, -0.5850981255220856]
[0.02564029321597754, -0.4166779791083116]
[0.025698569475612908, -0.2505026046942627]
[0.026618211517340472, -0.10756518329811879]
[0.029037705769811004, 0.06542578173946074]
[0.03287706851481505, 0.22740263595306262]
[0.032641601737450836, 0.3883379461196353]
[0.02847239265400634, 0.5563694928799059]
