[0.5051238939008043, -1.0245654792026724]
[0.5174903992937813, -1.0933253902401323]
[0.5229676630053297, -1.1227403938983214]
[0.5303651415057693, -1.152830949954479]
[0.5350343396626704, -1.175045200685987]
[0.5508466444876744, -1.2021942786672877]
[0.5518697211382848, -1.2164220588722154]
[0.5581928604327083, -1.2305005816035826]
[0.5580293560806562, -1.2321845607972943]
[0.5530472404079796, -1.2282210503515745]
[0.5860976471870789, -1.2548268134552554]
[0.6440035361822669, -1.2807444352028106]
[0.6683171384273687, -1.2855464650620338]
[0.7210448192155501, -1.2886558930711272]
[0.7583186088830227, -1.2879105829538193]
[0.7896095308598523, -1.2815861391422851]
[0.8046355206024433, -1.2799779190991376]
[0.8187005213033898, -1.2786133697897801]
[0.8292034538067506, -1.279671276162233]
[0.829493509143023, -1.2759744842871739]
[0.824683310554844, -1.2763453591648477]
[0.8222208487627756, -1.2866177519701205]
[0.8358828741427858, -1.225604274460328]
[0.8296215399454769, -1.0843882301713652]
[0.8158322788142345, -0.9714016498690412]
[0.7999960640369917, -0.8515890836756432]
[0.7994527821591774, -0.6637066735171601]
[0.8059396150859578, -0.5361906133911101]
[0.8171829140427167, -0.34865898913606974]
[0.816442324890463, -0.22976445722824274]
[0.8139168918020564, -0.07784371867786254]
[0.8134720363527412, -0.005579458892293466]
[0.8235562723141132, 0.05083785844291573]
[0.8384255787077373, 0.12086433542421925]
[0.8489350100066362, 0.16087629985837107]
[0.8533606401143281, 0.17728197633992585]
[0.8541952253102189, 0.18369980284370915]
[0.8556991556417812, 0.18437229819016202]
[0.8604932372141113, 0.18983590913322212]
[0.8821407841441351, 0.20185316496324127]
[0.933166379185983, 0.229412928255384]
[0.972487654909848, 0.24051503639516847]
[1.0257501781468576, 0.24648882765090616]
[1.060122860930416, 0.25046026716729347]
[1.0735000601084508, 0.25228681680823706]
[1.1050564723236487, 0.24998853311184235]
[1.125694291148619, 0.24208944330013]
[1.140947748948017, 0.23997751394008143]
[1.145688121217606, 0.23693709106913177]
[1.1463573361496906, 0.23605331503415902]
